visit_id,user_id,page,country,timestamp
00001,0328,/home,FR,2025-05-21T08:54:58
00002,0115,/help,DZ,2025-02-22T19:51:22
00003,0045,/contact,FR,2025-01-16T03:24:40
00004,0112,/about,BE,2025-11-05T00:57:58
00005,0288,/about,DZ,2025-11-29T19:50:26
00006,0215,/about,USA,2025-10-29T10:07:43
00007,0415,/,UK,2025-12-24T15:23:12
00008,0175,/products,UK,2025-04-21T12:15:18
00009,0053,/home,USA,2025-02-19T13:04:12
00010,0434,/pricing,BE,2025-05-16T01:34:55
00011,0374,/hr,BE,2025-03-05T13:46:55
00012,0041,/blog,ES,2025-11-18T22:31:10
00013,0454,/pricing,BE,2025-04-09T02:31:56
00014,0024,/about,ES,2025-02-10T08:28:32
00015,0444,/home,USA,2025-05-23T16:30:29
00016,0326,/pricing,UK,2025-07-09T12:56:06
00017,0108,/products,DZ,2025-12-16T23:35:39
00018,0037,/help,BE,2025-05-06T05:56:57
00019,0237,/contact,ES,2025-11-24T20:16:40
00020,0113,/pricing,FR,2025-04-28T01:10:07
00021,0413,/pricing,USA,2025-05-18T02:24:35
00022,0109,/pricing,UK,2025-12-02T18:10:35
00023,0203,/hr,UK,2025-05-16T05:05:01
00024,0127,/blog,BE,2025-05-15T21:17:02
00025,0220,/contact,ES,2025-04-23T05:02:11
00026,0261,/hr,FR,2025-01-25T03:59:31
00027,0079,/help,DZ,2025-08-05T21:42:52
00028,0033,/contact,USA,2025-11-02T17:02:28
00029,0271,/products,BE,2025-01-06T04:10:14
00030,0350,/blog,ES,2025-11-25T12:23:07
00031,0058,/products,USA,2025-03-22T16:31:10
00032,0002,/products,BE,2025-04-02T18:29:02
00033,0468,/home,DZ,2025-06-02T23:15:48
00034,0260,/about,UK,2025-07-11T05:52:54
00035,0277,/blog,FR,2025-11-03T11:48:07
00036,0251,/,FR,2025-07-05T11:11:46
00037,0123,/,UK,2025-10-18T02:52:02
00038,0044,/hr,FR,2025-09-30T04:34:43
00039,0066,/hr,BE,2025-03-26T09:39:01
00040,0271,/contact,UK,2025-10-04T07:19:25
00041,0366,/products,USA,2025-12-10T23:39:40
00042,0192,/hr,BE,2025-08-20T04:24:20
00043,0127,/about,FR,2025-06-23T00:45:57
00044,0302,/blog,UK,2025-10-29T08:01:04
00045,0004,/home,DZ,2025-11-20T02:08:36
00046,0118,/home,FR,2025-06-19T02:34:47
00047,0264,/about,ES,2025-12-09T17:40:24
00048,0110,/blog,UK,2025-10-20T20:58:45
00049,0243,/about,USA,2025-07-28T06:55:57
00050,0049,/home,DZ,2025-08-09T12:53:58
00051,0217,/contact,USA,2025-01-28T23:47:29
00052,0331,/home,FR,2025-07-26T12:21:13
00053,0410,/home,UK,2025-04-09T06:55:31
00054,0275,/hr,UK,2025-08-05T06:40:50
00055,0143,/hr,UK,2025-02-08T16:08:02
00056,0414,/blog,FR,2025-01-26T23:44:37
00057,0277,/,FR,2025-05-02T06:03:18
00058,0209,/hr,USA,2025-04-20T14:36:05
00059,0463,/,UK,2025-07-14T00:04:42
00060,0200,/products,USA,2025-05-27T15:24:04
00061,0357,/blog,DZ,2025-09-07T05:38:09
00062,0098,/products,UK,2025-01-30T21:05:14
00063,0377,/blog,FR,2025-06-10T02:04:52
00064,0026,/hr,BE,2025-09-29T05:43:55
00065,0030,/blog,FR,2025-04-06T02:29:41
00066,0305,/home,DZ,2025-05-01T14:42:03
00067,0062,/about,BE,2025-11-01T01:26:49
00068,0318,/home,USA,2025-12-03T21:15:03
00069,0290,/blog,ES,2025-05-14T07:26:12
00070,0343,/pricing,UK,2025-05-16T14:24:36
00071,0068,/products,USA,2025-06-11T02:38:28
00072,0005,/hr,BE,2025-10-16T03:38:24
00073,0038,/blog,UK,2025-09-17T09:39:20
00074,0068,/pricing,FR,2025-05-06T13:27:14
00075,0146,/help,USA,2025-10-06T11:00:51
00076,0314,/blog,FR,2025-12-08T20:11:32
00077,0154,/home,UK,2025-05-16T04:12:09
00078,0456,/home,DZ,2025-10-11T05:39:34
00079,0140,/products,BE,2025-04-18T12:29:02
00080,0105,/products,BE,2025-09-08T09:08:34
00081,0464,/,FR,2025-11-21T15:25:18
00082,0425,/products,FR,2025-01-02T12:08:39
00083,0395,/help,DZ,2025-05-15T05:52:58
00084,0380,/hr,BE,2025-12-28T15:34:17
00085,0288,/,FR,2025-02-08T05:25:36
00086,0280,/,ES,2025-10-26T20:07:00
00087,0076,/contact,UK,2025-01-22T11:13:24
00088,0187,/,ES,2025-04-18T09:05:06
00089,0342,/home,ES,2025-10-14T14:47:44
